Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","10uF","C_0805_2012Metric",-3.4290,8.7630,180.0000,bottom
"C2","100nF","C_0805_2012Metric",8.9800,44.4900,180.0000,bottom
"C3","100nF","C_0805_2012Metric",46.2280,18.9230,180.0000,bottom
"C4","10uF","CP_EIA-3216-18_Kemet-A",46.2280,16.4130,180.0000,bottom
"C5","1uF","C_1210_3225Metric",34.1630,18.9230,180.0000,bottom
"C6","100nF","C_0805_2012Metric",30.4800,31.6230,180.0000,bottom
"C7","10uF","CP_EIA-3216-18_Kemet-A",27.4320,34.2900,90.0000,bottom
"C8","1pF/NP0 251R15S1R0AV4E","C_0805_2012Metric",39.6240,28.7020,-90.0000,bottom
"C9","10uF","CP_EIA-3216-18_Kemet-A",25.1460,37.0840,-90.0000,bottom
"C10","10uF","CP_EIA-3216-18_Kemet-A",30.3530,37.0840,-90.0000,bottom
"C11","100nF","C_0805_2012Metric",32.5120,37.7190,-90.0000,bottom
"C12","1uF","C_1210_3225Metric",35.3060,35.5600,-90.0000,bottom
"C13","100nF","C_0805_2012Metric",34.6710,31.6230,0.0000,bottom
"C14","100nF","C_0805_2012Metric",55.1180,20.1930,180.0000,bottom
"C15","1uF","C_1210_3225Metric",38.6080,22.8600,180.0000,bottom
"C16","3n3","C_0603_1608Metric",27.8130,27.5590,-90.0000,bottom
"C17","100nF","C_0805_2012Metric",-1.0160,17.7800,180.0000,bottom
"C18","100nF","C_0603_1608Metric",23.7490,15.4940,180.0000,bottom
"C20","100nF","C_0805_2012Metric",-15.1670,50.3520,180.0000,bottom
"C21","10uF","C_0603_1608Metric",-15.1670,47.8420,180.0000,bottom
"C22","100nF","C_0603_1608Metric",-15.1670,45.3320,180.0000,bottom
"C23","10uF","CP_EIA-3216-18_Kemet-A",-15.1670,42.8220,180.0000,bottom
"C24","10uF","CP_EIA-3216-18_Kemet-A",-19.1770,55.3720,180.0000,bottom
"D1","BZV55C-5,6V","D_SMA",1.1430,0.6350,90.0000,bottom
"FID1","Fiducial","Fiducial_1mm_Mask2mm",55.1180,43.3070,180.0000,bottom
"FID2","Fiducial","Fiducial_1mm_Mask2mm",16.1290,7.4930,180.0000,bottom
"L1","NL03KT330","L_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-8.3820,21.7170,180.0000,bottom
"L2","DFE252012P-4R7M","L_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-2.5400,40.3860,180.0000,bottom
"L3","L","L_0805_2012Metric",59.3090,23.7490,-90.0000,bottom
"M5","RFShield_TwoPieces","Laird_Technologies_BMI-S-204-F_32.00x32.00mm",35.5600,25.4000,180.0000,bottom
"Q1","2SK2394-6","SOT-23",38.8620,18.7960,180.0000,bottom
"R1","470R","R_0603_1608Metric",42.4180,16.7640,-90.0000,bottom
"R2","470R","R_0603_1608Metric",23.1140,32.7660,180.0000,bottom
"R3","4k7","R_0603_1608Metric",42.7990,19.8120,0.0000,bottom
"R4","10M","R_0805_2012Metric",41.7830,28.5750,-90.0000,bottom
"R5","4k7","R_0603_1608Metric",22.3520,38.6080,180.0000,bottom
"R6","4k7","R_0603_1608Metric",27.6860,38.6080,180.0000,bottom
"R7","4k7","R_0603_1608Metric",35.0520,38.8620,180.0000,bottom
"R8","4k7","R_0603_1608Metric",38.2270,38.8620,180.0000,bottom
"R9","10k","R_0603_1608Metric",31.1150,23.7490,180.0000,bottom
"R10","4k7","R_0805_2012Metric",29.3370,27.5590,-90.0000,bottom
"R11","1k","R_0603_1608Metric",34.4170,23.7490,0.0000,bottom
"R12","100","R_0805_2012Metric",59.3090,26.9240,180.0000,bottom
"U1","OPA2314","SOIC-8_3.9x4.9mm_P1.27mm",34.4170,27.5590,180.0000,bottom
"U2","ISL21080DIH312Z-TK","SOT-23",23.8760,12.8270,180.0000,bottom
"U3","SHT31-DIS","Sensirion_DFN-8-1EP_2.5x2.5mm_P0.5mm_EP1.1x1.7mm",-1.5240,22.3520,180.0000,bottom
"U4","TPS613222ADBV","SOT-23-5",-7.7170,39.3420,180.0000,bottom
